lat,lon,MaxWind,RMW,MIN_SLP,SHR_MAG,SHR_HDG,STM_SPD,STM_HDG,SST,OHC,TPW,LAND,850TANG,850VORT,200DVRG,lat(+6h),lon(+6h),MaxWind(+6h),RMW(+6h),MIN_SLP(+6hr),SHR_MAG(+6h),SHR_HDG(+6h),STM_SPD(+6h),STM_HDG(+6h),SST(+6h),OHC(+6h),TPW(+6h),LAND(+6h),850TANG(+6h),850VORT(+6h),200DVRG(+6h),lat(+12h),lon(+12h),MaxWind(+12h),RMW(+12h),MIN_SLP(+12hr),SHR_MAG(+12h),SHR_HDG(+12h),STM_SPD(+12h),STM_HDG(+12h),SST(+12h),OHC(+12h),TPW(+12h),LAND(+12h),850TANG(+12h),850VORT(+12h),200DVRG(+12h),class
38.7,315.1,105,59,972,14,63,5,17,257,9999,42,1113,220,12,-17,39.2,315.3,69,111,957,15,29,6,26,255,9999,42,1078,206,13,10,39.2,315.3,69,111,957,15,29,6,26,255,9999,42,1078,206,13,10,0
39.3,315.4,84,134,972,13,41,7,33,257,9999,42,1074,226,10,5,39.9,315.9,68,126,957,13,20,8,26,256,9999,43,1049,211,22,23,39.9,315.9,68,126,957,13,20,8,26,256,9999,43,1049,211,22,23,0
39.9,315.9,80,130,973,15,29,9,30,259,9999,44,1049,223,30,15,40.7,316.5,60,50,960,18,30,9,33,251,9999,45,1019,205,26,36,40.7,316.5,60,50,960,18,30,9,33,251,9999,45,1019,205,26,36,0
40.8,316.5,83,90,973,21,31,8,23,254,9999,42,1012,223,26,43,41.5,316.9,63,130,961,22,32,7,24,254,9999,42,985,208,26,30,41.5,316.9,63,130,961,22,32,7,24,254,9999,42,985,208,26,30,0
41.4,317.1,73,82,977,18,27,6,20,252,9999,44,1005,225,26,41,42,317.4,77,98,957,19,20,5,34,255,9999,41,984,226,46,-2,42,317.4,77,98,957,19,20,5,34,255,9999,41,984,226,46,-2,0
41.9,317.7,62,124,983,18,26,4,62,256,9999,41,1011,197,47,-6,42.1,318.2,53,109,977,19,33,5,63,254,9999,41,1033,186,53,4,42.1,318.2,53,109,977,19,33,5,63,254,9999,41,1033,186,53,4,0
42,318.3,68,63,984,18,27,6,60,255,9999,42,1046,218,60,3,42.3,319,58,101,964,15,19,8,67,249,9999,42,1076,211,72,-8,42.3,319,58,101,964,15,19,8,67,249,9999,42,1076,211,72,-8,0
42.3,319.1,68,139,984,18,15,7,66,256,9999,41,1084,228,74,2,42.6,320,54,94,964,18,35,8,61,247,9999,41,1131,206,41,42,42.6,320,54,94,964,18,35,8,61,247,9999,41,1131,206,41,42,0
42.5,320.1,65,75,984,18,29,11,62,252,9999,42,1144,227,54,32,43,321.4,59,73,960,14,29,11,55,243,9999,41,1214,218,79,24,43,321.4,59,73,960,14,29,11,55,243,9999,41,1214,218,79,24,0
43,321.2,71,58,976,15,33,12,53,245,9999,41,1199,236,79,9,43.7,322.5,59,133,958,18,30,13,53,238,9999,40,1266,220,79,60,43.7,322.5,59,133,958,18,30,13,53,238,9999,40,1266,220,79,60,0
43.3,322.9,75,118,968,15,25,16,52,241,9999,41,1313,246,68,90,44.3,324.7,62,68,955,18,39,15,50,226,9999,41,1403,223,67,8,44.3,324.7,62,68,955,18,39,15,50,226,9999,41,1403,223,67,8,0
44.4,324.3,70,97,968,19,43,14,56,234,9999,40,1369,233,65,38,45.2,326,55,58,964,22,40,15,51,213,9999,39,1466,209,56,23,45.2,326,55,58,964,22,40,15,51,213,9999,39,1466,209,56,23,0
45.1,326.4,71,88,972,21,41,16,43,214,9999,38,1499,224,63,14,46.3,328,54,67,964,20,45,15,36,205,9999,37,1584,207,62,3,46.3,328,54,67,964,20,45,15,36,205,9999,37,1584,207,62,3,0
46.3,327.7,69,81,973,21,52,14,25,202,9999,37,1561,216,58,-17,47.6,328.6,58,190,970,26,41,13,13,206,9999,35,1592,190,100,55,47.6,328.6,58,190,970,26,41,13,13,206,9999,35,1592,190,100,55,0
47.2,328.6,63,191,969,30,40,14,11,204,9999,37,1609,200,103,34,48.6,329,53,148,968,21,34,13,6,185,9999,34,1518,201,120,78,48.6,329,53,148,968,21,34,13,6,185,9999,34,1518,201,120,78,0
18.2,300.2,39,125,1005,10,34,12,260,286,9999,57,623,77,58,28,18,299,49,101,1007,11,58,10,273,285,9999,55,497,77,45,21,18,299,49,101,1007,11,58,10,273,285,9999,55,497,77,45,21,0
18.7,299.4,47,80,1006,13,60,10,275,286,9999,55,539,70,41,16,18.8,298.3,38,197,1008,15,74,11,286,287,9999,55,425,74,24,32,18.8,298.3,38,197,1008,15,74,11,286,287,9999,55,425,74,24,32,0
18.8,298.3,41,188,1003,14,71,12,275,287,9999,54,425,74,22,22,18.9,297,38,170,1003,10,68,10,285,287,9999,56,292,86,32,59,18.9,297,38,170,1003,10,68,10,285,287,9999,56,292,86,32,59,0
19.2,297.1,37,175,1003,14,46,9,270,287,9999,54,311,80,31,46,19.2,296.1,37,132,1007,16,52,10,267,287,9999,54,214,74,21,24,19.2,296.1,37,132,1007,16,52,10,267,287,9999,54,214,74,21,24,0
19.5,296,43,55,998,17,49,13,270,288,9999,54,223,83,18,4,19.5,294.6,36,55,1004,19,62,10,273,291,9999,54,128,73,13,10,19.5,294.6,36,55,1004,19,62,10,273,291,9999,54,128,73,13,10,0
19.5,295.6,44,62,999,15,67,10,301,290,9999,54,191,91,4,17,20,294.7,36,96,1004,20,72,8,312,289,9999,54,182,78,-6,18,20,294.7,36,96,1004,20,72,8,312,289,9999,54,182,78,-6,18,0
