lat,lon,MaxWind,RMW,MIN_SLP,SHR_MAG,SHR_HDG,STM_SPD,STM_HDG,SST,OHC,TPW,LAND,850TANG,850VORT,200DVRG,lat(+6h),lon(+6h),MaxWind(+6h),RMW(+6h),MIN_SLP(+6hr),SHR_MAG(+6h),SHR_HDG(+6h),STM_SPD(+6h),STM_HDG(+6h),SST(+6h),OHC(+6h),TPW(+6h),LAND(+6h),850TANG(+6h),850VORT(+6h),200DVRG(+6h),lat(+12h),lon(+12h),MaxWind(+12h),RMW(+12h),MIN_SLP(+12hr),SHR_MAG(+12h),SHR_HDG(+12h),STM_SPD(+12h),STM_HDG(+12h),SST(+12h),OHC(+12h),TPW(+12h),LAND(+12h),850TANG(+12h),850VORT(+12h),200DVRG(+12h),class
27.1,302.2,99,149,965,2,107,14,324,288,9999,53,1270,223,2,34,28.2,301.3,85,135,969,6,62,13,320,286,9999,54,1310,218,-3,30,28.2,301.3,85,135,969,6,62,13,320,286,9999,54,1310,218,-3,30,0
28.3,301.2,96,145,962,6,39,13,316,291,9999,54,1313,244,6,40,29.2,300.2,90,154,962,9,47,14,320,283,9999,54,1346,240,-4,35,29.2,300.2,90,154,962,9,47,14,320,283,9999,54,1346,240,-4,35,0
29.1,300.1,81,174,968,8,20,13,322,281,9999,55,1331,242,5,40,30.1,299.2,86,158,967,6,34,13,327,281,9999,55,1392,237,1,39,30.1,299.2,86,158,967,6,34,13,327,281,9999,55,1392,237,1,39,0
33,297.8,80,138,966,7,9,15,354,283,9999,52,1202,193,6,33,34.5,297.6,87,139,964,8,354,18,1,271,9999,51,1035,217,-12,48,34.5,297.6,87,139,964,8,354,18,1,271,9999,51,1035,217,-12,48,0
34.4,297.7,78,153,966,4,39,21,2,275,9999,52,1048,205,-21,7,36.5,297.8,77,80,968,8,359,22,10,272,9999,51,827,213,17,16,36.5,297.8,77,80,968,8,359,22,10,272,9999,51,827,213,17,16,0
36.5,297.8,76,108,967,6,24,26,18,274,9999,52,827,204,23,7,39,298.8,76,167,970,14,26,29,20,275,9999,51,616,208,28,83,39,298.8,76,167,970,14,26,29,20,275,9999,51,616,208,28,83,0
39,299,70,173,967,11,31,33,19,277,9999,51,626,187,26,64,42.1,300.4,71,55,963,22,21,35,27,220,9999,50,368,213,44,117,42.1,300.4,71,55,963,22,21,35,27,220,9999,50,368,213,44,117,0
41.9,300.4,70,52,968,16,30,38,32,228,9999,50,389,195,19,108,45.1,303.2,66,127,970,18,15,41,36,180,9999,46,212,202,105,97,45.1,303.2,66,127,970,18,15,41,36,180,9999,46,212,202,105,97,0
45,303.7,81,148,957,16,36,46,35,180,9999,48,212,204,94,85,48.8,307.6,72,138,957,21,30,46,37,118,9999,43,49,218,115,119,48.8,307.6,72,138,957,21,30,46,37,118,9999,43,49,218,115,119,0
48.9,306.6,71,122,962,24,22,48,41,146,9999,41,34,175,101,103,52.5,311.5,53,80,973,32,37,43,36,129,9999,36,489,161,195,157,52.5,311.5,53,80,973,32,37,43,36,129,9999,36,489,161,195,157,0
