lat,lon,MaxWind,RMW,MIN_SLP,SHR_MAG,SHR_HDG,STM_SPD ,STM_HDG,SST,OHC,TPW,LAND,850TANG,850VORT,200DVRG,class
15.7,302.5,54,133,1005,14,89,12,275,291,9999,51,663,119,-3,-5,0
16.3,299.7,39,109,1007,13,80,13,270,293,9999,52,614,86,8,-8,0
16.5,298.4,56,45,1002,13,56,12,270,291,9999,53,479,128,0,27,0
16.3,297.2,54,149,1000,14,77,10,264,294,9999,53,379,118,23,73,0
16.3,296.9,45,143,999,9,85,7,278,294,9999,55,352,105,36,71,0
16.7,295.8,53,111,1002,7,59,4,298,295,9999,55,231,116,33,113,0
16.4,295.3,48,59,997,9,38,8,307,293,9999,56,219,125,46,79,0
16.9,294.5,56,110,995,15,65,8,307,292,9999,55,129,121,38,62,0
17.1,293.9,65,71,990,16,70,8,316,292,9999,56,100,124,46,58,0
17.8,293.1,89,124,984,17,72,7,287,288,9999,57,13,141,56,60,0
18.1,292.2,84,63,982,15,54,5,308,292,9999,55,63,145,42,69,0
18.2,291.6,85,19,974,14,62,6,330,287,9999,55,15,148,43,75,0
18.7,291.1,86,70,979,18,64,8,338,274,9999,55,-24,148,35,69,1
19.6,290.5,83,99,969,14,71,7,328,287,9999,56,33,167,34,60,0
20.3,289.9,107,138,972,15,62,9,321,288,9999,57,64,163,37,92,0
20.8,289.3,103,78,964,19,72,9,335,291,9999,55,114,173,31,56,0
21.6,288.8,118,168,960,26,93,9,330,291,9999,54,200,157,28,34,0
22.3,288.3,110,141,958,17,94,5,340,292,9999,55,278,172,32,109,0
24.2,288.3,137,107,937,15,86,9,6,292,9999,57,487,213,45,74,0
28,289.4,108,104,929,17,92,15,24,294,9999,54,912,286,31,85,0
29.7,290,112,95,929,12,72,14,30,294,9999,55,833,287,11,32,0
30.9,291,116,169,926,8,96,21,35,282,9999,53,815,323,43,54,0
34.3,295,111,138,931,19,85,40,37,271,9999,52,949,327,124,174,0
37.5,298.4,110,126,934,23,48,47,10,271,9999,48,744,302,166,169,0
42.4,299.3,100,142,932,52,3,26,354,220,9999,39,306,343,243,133,0
47.1,298.3,80,165,938,46,344,5,40,150,9999,23,70,320,262,49,0
47.6,299.3,63,54,951,37,356,14,22,143,9999,23,79,232,268,55,0
37.9,317.9,57,107,998,27,31,14,46,251,9999,40,1332,106,-40,19,0
41.1,327.2,58,194,997,29,74,10,90,233,9999,36,1740,132,-62,-12,0
41,328.8,65,142,997,29,101,9,102,236,9999,35,1838,138,-79,-52,0
40.5,330.8,56,177,994,23,115,7,180,235,9999,33,1689,137,-31,-10,0
39.8,331.4,74,165,995,26,123,7,213,236,9999,35,1663,134,-16,-18,0
