Storm,lat,lon,MaxWind,RMW,MIN_SLP,SHR_MAG,SHR_HDG,STM_SPD,STM_HDG,SST,OHC,TPW,LAND,850TANG,850VORT,200DVRG,lat(+6h),lon(+6h),MaxWind(+6h),RMW(+6h),MIN_SLP(+6hr),SHR_MAG(+6h),SHR_HDG(+6h),STM_SPD(+6h),STM_HDG(+6h),SST(+6h),OHC(+6h),TPW(+6h),LAND(+6h),850TANG(+6h),850VORT(+6h),200DVRG(+6h),lat(+12h),lon(+12h),MaxWind(+12h),RMW(+12h),MIN_SLP(+12hr),SHR_MAG(+12h),SHR_HDG(+12h),STM_SPD(+12h),STM_HDG(+12h),SST(+12h),OHC(+12h),TPW(+12h),LAND(+12h),850TANG(+12h),850VORT(+12h),200DVRG(+12h),lat(+18h),lon(+18h),MaxWind(+18h),RMW(+18h),MIN_SLP(+18h),SHR_MAG(+18h),SHR_HDG(+18h),STM_SPD(+18h),STM_HDG(+18h),SST(+18h),OHC(+18h),TPW(+18h),LAND(+18h),850TANG(+18h),850VORT(+18h),200DVRG(+18h),lat(+24h),lon(+24h),MaxWind(+24h),RMW(+24h),MIN_SLP(+24h),SHR_MAG(+24h),SHR_HDG(+24h),STM_SPD(+24h),STM_HDG(+24h),SST(+24h),OHC(+24h),TPW(+24h),LAND(+24h),850TANG(+24h),850VORT(+24h),200DVRG(+24h),class
IAN09L.2022092506,14.6,281.6,40,101,1006,3,103,9,289,294,9999,57,363,90,52,64,14.9,280.7,38,58,1000,9,141,10,304,294,9999,58,365,99,52,46,15.7,279.9,46,71,995,6,166,12,321,293,9999,58,337,106,61,54,16.8,279.1,50,154,991,5,61,14,320,293,9999,59,316,112,59,63,17.9,278,65,83,983,5,39,14,314,296,9999,58,330,127,32,52,0
IAN09L.2022092512,15,280.6,36,77,1004,7,149,11,316,298,9999,58,360,89,54,49,15.8,279.8,38,95,1001,7,164,12,319,295,9999,60,333,92,71,62,16.8,279,45,131,993,1,84,14,325,295,9999,60,309,105,69,66,18.1,278.1,52,150,988,3,7,14,321,297,9999,59,354,118,32,65,18.9,277.2,69,153,978,5,326,12,317,297,9999,59,354,141,49,71,1
HERMINE10L.2022092500,22.5,339.5,26,124,1006,22,61,12,9,249,9999,49,374,78,56,50,23.7,339.7,25,38,1005,32,58,10,11,246,9999,48,396,69,75,10,24.4,339.9,22,107,1008,38,52,7,24,245,9999,47,422,73,61,19,24.9,340.3,25,29,1007,46,52,5,30,246,9999,47,415,66,48,32,25.2,340.4,26,91,1009,53,62,3,340,245,9999,46,420,64,63,74,0
JULIA13L.2022100718,12.9,286.1,32,103,1001,14,146,19,270,295,9999,58,192,82,89,46,12.9,284.1,46,69,1001,11,133,18,267,294,9999,58,237,100,108,90,12.7,282.4,47,76,994,9,141,16,268,292,9999,60,334,119,118,123,12.8,280.8,56,74,985,3,183,14,270,292,9999,60,357,132,110,120,12.7,279.6,49,135,982,5,244,13,272,292,9999,61,336,142,102,135,0
ELSA05L.2021070112,9.9,309.9,42,62,1005,9,183,20,281,278,9999,56,605,115,69,66,10.3,307.9,44,61,1004,8,156,19,282,282,9999,57,552,114,63,64,10.7,306.2,50,90,1001,8,158,19,288,278,9999,58,555,125,61,91,11.5,304.2,59,123,997,10,135,23,288,277,9999,58,531,138,50,77,12.1,301.7,59,91,995,5,158,24,286,276,9999,58,328,155,56,84,0
