Storm,Time,Basin,lat,lon,MaxWind,RMW,MIN_SLP,SHR_MAG,SHR_HDG,STM_SPD,STM_HDG,SST,OHC,TPW,LAND,850TANG,850VORT,200DVRG,lat(+6h),lon(+6h),MaxWind(+6h),RMW(+6h),MIN_SLP(+6hr),SHR_MAG(+6h),SHR_HDG(+6h),STM_SPD(+6h),STM_HDG(+6h),SST(+6h),OHC(+6h),TPW(+6h),LAND(+6h),850TANG(+6h),850VORT(+6h),200DVRG(+6h),lat(+12h),lon(+12h),MaxWind(+12h),RMW(+12h),MIN_SLP(+12hr),SHR_MAG(+12h),SHR_HDG(+12h),STM_SPD(+12h),STM_HDG(+12h),SST(+12h),OHC(+12h),TPW(+12h),LAND(+12h),850TANG(+12h),850VORT(+12h),200DVRG(+12h),lat(+18h),lon(+18h),MaxWind(+18h),RMW(+18h),MIN_SLP(+18h),SHR_MAG(+18h),SHR_HDG(+18h),STM_SPD(+18h),STM_HDG(+18h),SST(+18h),OHC(+18h),TPW(+18h),LAND(+18h),850TANG(+18h),850VORT(+18h),200DVRG(+18h),lat(+24h),lon(+24h),MaxWind(+24h),RMW(+24h),MIN_SLP(+24h),SHR_MAG(+24h),SHR_HDG(+24h),STM_SPD(+24h),STM_HDG(+24h),SST(+24h),OHC(+24h),TPW(+24h),LAND(+24h),850TANG(+24h),850VORT(+24h),200DVRG(+24h),class
DORA05E,2023080112,EPAC,16,252.1,45,101,1001,12,276,12,275,304,9999,60,485,66,-4,25,16.1,250.9,59,65,991,6,311,13,272,299,9999,60,569,75,4,14,16.1,249.4,53,161,991,3,342,14,266,291,9999,59,697,76,-1,17,15.9,248,64,81,984,2,148,13,266,291,9999,59,806,84,-5,24,15.9,246.7,85,54,974,6,191,14,268,289,9999,58,851,93,0,32,1
DORA05E,2023080118,EPAC,16.1,250.6,62,84,998,10,312,13,252,303,9999,61,594,78,9,2,15.7,249.3,48,162,992,3,312,12,256,290,9999,60,731,89,-7,34,15.5,248.1,67,88,983,5,192,11,267,288,9999,60,846,97,5,51,15.6,247,92,68,975,10,190,13,275,287,9999,60,870,104,3,43,15.7,245.5,89,43,975,11,197,14,270,288,9999,59,929,111,21,33,1
DORA05E,2023080200,EPAC,16.2,249.2,64,106,994,8,327,13,256,289,9999,58,708,95,-5,15,15.9,247.9,60,108,991,1,226,12,263,287,9999,58,808,87,3,41,15.9,246.8,89,87,975,7,206,11,270,286,9999,58,847,104,-1,9,15.9,245.6,100,78,967,9,220,13,270,285,9999,58,904,107,19,26,15.9,244.2,104,72,959,10,231,14,264,286,9999,57,987,112,22,33,1
DORA05E,2023080206,EPAC,15.9,248.1,86,156,983,3,207,11,270,292,9999,57,803,99,4,23,15.9,247,91,4,973,9,209,11,273,286,9999,57,839,99,2,-12,16,245.8,92,106,970,11,204,13,270,285,9999,57,884,109,10,9,15.9,244.4,114,55,951,12,212,14,266,286,9999,56,974,108,16,25,15.8,242.9,127,93,944,12,208,14,266,286,9999,55,1085,109,22,10,1
DORA05E,2023080212,EPAC,15.7,246.5,84,45,976,4,208,12,270,292,9999,55,880,96,11,-12,15.7,245.3,88,84,975,11,202,12,265,287,9999,55,940,99,17,4,15.5,244,98,63,960,12,220,13,263,288,9999,55,1036,101,12,3,15.4,242.6,115,142,956,12,219,14,266,286,9999,55,1139,102,17,5,15.3,241,123,121,951,14,231,16,264,284,9999,53,1266,107,31,-15,1
DORA05E,2023080218,EPAC,15.5,245.1,93,69,976,8,216,14,262,292,9999,56,970,101,23,-7,15.3,243.7,86,86,967,10,236,14,262,289,9999,56,1073,99,22,-5,15.1,242.3,101,132,962,9,249,14,262,284,9999,56,1186,103,29,-8,14.9,240.8,113,127,953,13,260,15,264,283,9999,55,1314,108,57,26,14.8,239.3,108,117,959,16,268,16,265,281,9999,54,1416,109,66,51,0
DORA05E,2023080300,EPAC,15.3,243.8,109,126,956,6,236,14,266,286,9999,54,1066,120,19,-10,15.2,242.4,108,137,952,9,224,15,266,281,9999,54,1170,118,27,-22,15.1,240.8,110,70,949,11,237,15,266,280,9999,53,1297,125,34,5,15,239.2,104,127,958,13,247,16,265,282,9999,53,1405,117,62,8,14.8,237.5,96,140,961,13,261,17,263,270,9999,52,1540,115,62,40,0
DORA05E,2023080306,EPAC,15.1,242.3,114,97,952,4,268,15,266,285,9999,54,1186,112,27,-25,15,240.7,112,100,948,9,242,16,266,280,9999,53,1312,118,47,-5,14.9,239,107,121,956,11,245,17,265,283,9999,52,1427,113,69,-3,14.7,237.3,93,84,963,14,261,17,260,270,9999,52,1563,105,71,21,14.3,235.6,86,127,972,16,268,16,259,279,9999,53,1722,106,80,6,0
DORA05E,2023080312,EPAC,14.9,240.7,106,104,955,8,257,17,263,285,9999,52,1321,118,40,26,14.7,239,99,111,963,9,240,17,263,284,9999,52,1445,112,55,13,14.5,237.3,95,65,961,12,248,16,259,272,9999,52,1579,112,57,21,14.1,235.7,105,57,962,14,258,15,258,280,9999,53,1730,114,65,26,13.9,234.3,95,82,961,17,255,15,262,275,9999,53,1855,116,70,30,0
